 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
1,OP_1_reg.tif:1,231,1500.429,1253,931,2483,1419,1
2,OP_1_reg.tif:2,231,1491.948,1307,956,2450,1396,2
3,OP_1_reg.tif:3,231,1485.281,1157,975,2473,1401,3
4,OP_1_reg.tif:4,231,1478.558,1045,940,2443,1381,4
5,OP_1_reg.tif:5,231,1473.082,1405,884,2473,1390,5
6,OP_1_reg.tif:6,231,1458.342,1145,962,2415,1377,6
7,OP_1_reg.tif:7,231,1447.186,1080,944,2417,1356,7
8,OP_1_reg.tif:8,231,1438.126,1034,907,2388,1364,8
9,OP_1_reg.tif:9,231,1436.654,1201,876,2367,1347,9
10,OP_1_reg.tif:10,231,1432.173,1489,888,2360,1342,10
11,OP_1_reg.tif:11,231,1423.242,1179,880,2352,1334,11
12,OP_1_reg.tif:12,231,1412.186,1193,874,2337,1336,12
13,OP_1_reg.tif:13,231,1399.377,1227,845,2328,1333,13
14,OP_1_reg.tif:14,231,1392.762,1000,915,2280,1316,14
15,OP_1_reg.tif:15,231,1381.338,1317,903,2232,1301,15
16,OP_1_reg.tif:16,231,1375.766,1096,912,2240,1285,16
17,OP_1_reg.tif:17,231,1372.753,1710,881,2243,1294,17
18,OP_1_reg.tif:18,231,1373.797,1569,888,2280,1283,18
19,OP_1_reg.tif:19,231,1369.996,1051,914,2181,1291,19
20,OP_1_reg.tif:20,231,1368.147,1192,877,2166,1302,20
21,OP_1_reg.tif:21,231,1369.628,1167,834,2209,1296,21
22,OP_1_reg.tif:22,231,1367.883,1678,843,2237,1297,22
23,OP_1_reg.tif:23,231,1360.043,1191,896,2164,1275,23
24,OP_1_reg.tif:24,231,1360.355,1265,895,2196,1272,24
25,OP_1_reg.tif:25,231,1359.329,1150,878,2208,1283,25
26,OP_1_reg.tif:26,231,1362.022,1024,893,2206,1291,26
27,OP_1_reg.tif:27,231,1354.221,1098,828,2201,1290,27
28,OP_1_reg.tif:28,231,1356.558,916,916,2192,1284,28
29,OP_1_reg.tif:29,231,1353.732,1179,846,2185,1282,29
30,OP_1_reg.tif:30,231,1348.420,1043,869,2148,1275,30
31,OP_1_reg.tif:31,231,1353.814,1255,883,2225,1272,31
32,OP_1_reg.tif:32,231,1358.879,969,858,2169,1278,32
33,OP_1_reg.tif:33,231,1352.957,1249,936,2159,1290,33
34,OP_1_reg.tif:34,231,1350.420,1002,908,2181,1275,34
35,OP_1_reg.tif:35,231,1353.749,1229,880,2166,1279,35
36,OP_1_reg.tif:36,231,1347.043,1037,871,2129,1287,36
37,OP_1_reg.tif:37,231,1343.892,1135,856,2142,1284,37
38,OP_1_reg.tif:38,231,1342.104,1212,839,2142,1276,38
39,OP_1_reg.tif:39,231,1346.294,1193,864,2169,1263,39
40,OP_1_reg.tif:40,231,1350.606,1010,865,2155,1268,40
41,OP_1_reg.tif:41,231,1348.719,1022,870,2201,1272,41
42,OP_1_reg.tif:42,231,1343.390,1083,865,2126,1269,42
43,OP_1_reg.tif:43,231,1341.827,1114,866,2168,1274,43
44,OP_1_reg.tif:44,231,1340.775,1195,859,2150,1271,44
45,OP_1_reg.tif:45,231,1335.571,1245,870,2142,1262,45
