animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
OP_3_reg.tif,1,1032.091,337.213,694.8779999999999,729.5614,-0.04754006996532453,0.25
OP_3_reg.tif,2,1042.393,335.934,706.4590000000001,729.5614,-0.03166614900404543,0.5
OP_3_reg.tif,3,1056.054,336.164,719.8900000000001,729.5614,-0.013256457921156393,0.75
OP_3_reg.tif,4,1061.529,336.344,725.185,729.5614,-0.0059986726271429695,1
OP_3_reg.tif,5,1074.248,335.885,738.363,729.5614,0.012064234758034083,1.25
OP_3_reg.tif,6,1084.205,336.262,747.943,729.5614,0.02519541192831739,1.5
OP_3_reg.tif,7,1097.547,336.164,761.383,729.5614,0.04361743919017644,1.75
OP_3_reg.tif,8,1106.326,336.541,769.7850000000001,729.5614,0.0551339476019428,2
OP_3_reg.tif,9,1103.749,336.295,767.454,729.5614,0.051938877248713954,2.25
OP_3_reg.tif,10,1095.23,335.803,759.427,729.5614,0.040936376294030866,2.5
OP_3_reg.tif,11,1084.293,335.59,748.703,729.5614,0.02623713370800583,2.75
OP_3_reg.tif,12,1075.707,337.016,738.691,729.5614,0.01251381994716275,3
OP_3_reg.tif,13,1067.912,336.623,731.289,729.5614,0.002367998087618038,3.25
OP_3_reg.tif,14,1061.876,336.295,725.5809999999999,729.5614,-0.005455880752463254,3.5
OP_3_reg.tif,15,1060.248,335.557,724.691,729.5614,-0.006675791783940348,3.75
OP_3_reg.tif,16,1053.604,336.213,717.3910000000001,729.5614,-0.01668180361515833,4
OP_3_reg.tif,17,1047.743,335.689,712.0539999999999,729.5614,-0.02399715774436557,4.25
OP_3_reg.tif,18,1040.432,336.623,703.809,729.5614,-0.035298468367432924,4.5
OP_3_reg.tif,19,1035.616,335.984,699.6320000000001,729.5614,-0.04102382609606263,4.75
OP_3_reg.tif,20,1032.915,334.295,698.6199999999999,729.5614,-0.042410960886911174,5
OP_3_reg.tif,21,1030.112,333.984,696.1280000000002,729.5614,-0.04582671177504716,5.25
OP_3_reg.tif,22,1026.517,334.803,691.714,729.5614,-0.051876922216553656,5.5
OP_3_reg.tif,23,1025.157,334.705,690.452,729.5614,-0.05360672864545746,5.75
OP_3_reg.tif,24,1025.976,335.246,690.7300000000001,729.5614,-0.053225677783939655,6
OP_3_reg.tif,25,1028.867,334.115,694.752,729.5614,-0.047712776470904425,6.25
OP_3_reg.tif,26,1027.027,335.59,691.4370000000001,729.5614,-0.05225660239151896,6.5
OP_3_reg.tif,27,1024,334.246,689.754,729.5614,-0.05456346785890814,6.75
OP_3_reg.tif,28,1015.444,334.148,681.2959999999999,729.5614,-0.06615673471759898,7
OP_3_reg.tif,29,1011.006,335.361,675.645,729.5614,-0.07390248442420345,7.25
OP_3_reg.tif,30,1008.468,333.787,674.681,729.5614,-0.07522382626054504,7.5
OP_3_reg.tif,31,1005.764,334.541,671.223,729.5614,-0.07996366035812762,7.75
OP_3_reg.tif,32,1003.843,333.787,670.056,729.5614,-0.08156325156457017,8
OP_3_reg.tif,33,1000.441,334.082,666.359,729.5614,-0.08663067974813361,8.25
OP_3_reg.tif,34,996.326,334.18,662.146,729.5614,-0.09240538219264353,8.5
OP_3_reg.tif,35,995.378,333.705,661.673,729.5614,-0.09305371693184432,8.75
OP_3_reg.tif,36,995.746,333.918,661.828,729.5614,-0.09284126051625,9
OP_3_reg.tif,37,998.287,333.721,664.566,729.5614,-0.08908832073626705,9.25
OP_3_reg.tif,38,997.804,334.131,663.673,729.5614,-0.09031234382740101,9.5
OP_3_reg.tif,39,999.574,334.197,665.377,729.5614,-0.08797669394241539,9.75
OP_3_reg.tif,40,996.193,334.246,661.947,729.5614,-0.09267814881653558,10
OP_3_reg.tif,41,996.006,333.016,662.99,729.5614,-0.0912485227425684,10.25
OP_3_reg.tif,42,992.094,334.738,657.356,729.5614,-0.09897097077778519,10.5
OP_3_reg.tif,43,988.251,335,653.251,729.5614,-0.10459763907465508,10.75
OP_3_reg.tif,44,985.541,334.754,650.787,729.5614,-0.10797501073932915,11
OP_3_reg.tif,45,983.06,334.525,648.535,729.5614,-0.11106179685493239,11.25
OP_3_reg.tif,46,981.937,333.951,647.986,729.5614,-0.11181430377210205,11.5
OP_3_reg.tif,47,979.728,334.787,644.941,729.5614,-0.11598804432361692,11.75
OP_3_reg.tif,48,979.828,334.328,645.5,729.5614,-0.11522183054092505,12
OP_3_reg.tif,49,980.867,333.984,646.883,729.5614,-0.11332617103920246,12.25
OP_3_reg.tif,50,976.637,333.902,642.7349999999999,729.5614,-0.11901177885781805,12.5
OP_3_reg.tif,51,973.64,333.295,640.345,729.5614,-0.12228771971762763,12.75
OP_3_reg.tif,52,971.347,334.393,636.954,729.5614,-0.12693571781621135,13
OP_3_reg.tif,53,970.163,333.59,636.5730000000001,729.5614,-0.1274579493926076,13.25
OP_3_reg.tif,54,970.909,333.541,637.3679999999999,729.5614,-0.1263682535835916,13.5
OP_3_reg.tif,55,973.296,332.525,640.7710000000001,729.5614,-0.12170380724638115,13.75
OP_3_reg.tif,56,971.547,332.656,638.8910000000001,729.5614,-0.12428069796455783,14
OP_3_reg.tif,57,969.77,333.082,636.688,729.5614,-0.12730032043910225,14.25
OP_3_reg.tif,58,966.792,333,633.792,729.5614,-0.1312698286943361,14.5
OP_3_reg.tif,59,964.447,333.443,631.004,729.5614,-0.13509130280193007,14.75
OP_3_reg.tif,60,963.677,333.311,630.366,729.5614,-0.13596580082224752,15
OP_3_reg.tif,61,965.538,332.951,632.587,729.5614,-0.13292150598976324,15.25
OP_3_reg.tif,62,964.722,333.475,631.247,729.5614,-0.1347582259697403,15.5
OP_3_reg.tif,63,962.843,331.77,631.073,729.5614,-0.13499672542982682,15.75
OP_3_reg.tif,64,964.211,331.377,632.8340000000001,729.5614,-0.1325829464113644,16
OP_3_reg.tif,65,970.686,331.77,638.916,729.5614,-0.12424643080075233,16.25
OP_3_reg.tif,66,989.453,332.295,657.1579999999999,729.5614,-0.0992423667151252,16.5
OP_3_reg.tif,67,997.432,332.902,664.53,729.5614,-0.0891376654521471,16.75
OP_3_reg.tif,68,996.036,333,663.036,729.5614,-0.09118547116116628,17
OP_3_reg.tif,69,987.637,330.525,657.112,729.5614,-0.09930541829652731,17.25
OP_3_reg.tif,70,985.477,333.131,652.346,729.5614,-0.10583811040441564,17.5
