 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
1,OP_5_reg.tif:1,120,322.467,324,303,341,323,1
2,OP_5_reg.tif:2,120,322.117,320,308,342,322,2
3,OP_5_reg.tif:3,120,321.833,321,306,335,321,3
4,OP_5_reg.tif:4,120,322.533,323,308,336,323,4
5,OP_5_reg.tif:5,120,321.300,320,306,340,322,5
6,OP_5_reg.tif:6,120,322.042,319,306,339,321,6
7,OP_5_reg.tif:7,120,322.208,321,307,342,322,7
8,OP_5_reg.tif:8,120,321.800,321,308,344,322,8
9,OP_5_reg.tif:9,120,322.017,321,302,338,321,9
10,OP_5_reg.tif:10,120,321.025,320,306,339,321,10
11,OP_5_reg.tif:11,120,320.933,316,306,343,321,11
12,OP_5_reg.tif:12,120,321.000,321,304,340,321,12
13,OP_5_reg.tif:13,120,320.242,324,308,336,320,13
14,OP_5_reg.tif:14,120,320.242,317,304,339,320,14
15,OP_5_reg.tif:15,120,320.283,317,306,338,320,15
16,OP_5_reg.tif:16,120,320.283,323,304,336,320,16
17,OP_5_reg.tif:17,120,319.792,315,302,337,320,17
18,OP_5_reg.tif:18,120,320.283,320,301,338,320,18
19,OP_5_reg.tif:19,120,321.558,325,303,338,322,19
20,OP_5_reg.tif:20,120,321.792,318,311,340,321,20
21,OP_5_reg.tif:21,120,320.025,326,307,334,321,21
22,OP_5_reg.tif:22,120,321.217,322,308,338,321,22
23,OP_5_reg.tif:23,120,320.767,319,306,337,320,23
24,OP_5_reg.tif:24,120,321.017,320,309,340,320,24
25,OP_5_reg.tif:25,120,320.083,322,305,335,320,25
26,OP_5_reg.tif:26,120,319.700,317,305,336,319,26
27,OP_5_reg.tif:27,120,319.942,321,303,336,321,27
28,OP_5_reg.tif:28,120,320.450,315,303,343,320,28
29,OP_5_reg.tif:29,120,319.575,317,304,333,319,29
30,OP_5_reg.tif:30,120,319.575,318,303,336,319,30
31,OP_5_reg.tif:31,120,321.225,318,303,339,321,31
32,OP_5_reg.tif:32,120,320.967,323,305,336,321,32
33,OP_5_reg.tif:33,120,320.775,323,306,338,321,33
34,OP_5_reg.tif:34,120,320.817,317,306,338,321,34
35,OP_5_reg.tif:35,120,320.667,316,308,338,321,35
36,OP_5_reg.tif:36,120,321.142,318,306,341,321,36
37,OP_5_reg.tif:37,120,321.133,324,305,336,322,37
38,OP_5_reg.tif:38,120,321.192,321,307,343,321,38
39,OP_5_reg.tif:39,120,320.542,318,306,332,320,39
40,OP_5_reg.tif:40,120,321.475,322,302,337,322,40
41,OP_5_reg.tif:41,120,319.992,320,308,333,320,41
42,OP_5_reg.tif:42,120,320.425,321,305,339,320,42
43,OP_5_reg.tif:43,120,320.700,320,305,340,320,43
44,OP_5_reg.tif:44,120,319.042,313,302,336,319,44
45,OP_5_reg.tif:45,120,317.200,312,303,333,317,45
46,OP_5_reg.tif:46,120,318.817,315,306,332,319,46
47,OP_5_reg.tif:47,120,318.325,316,300,334,318,47
48,OP_5_reg.tif:48,120,318.108,314,299,332,318,48
49,OP_5_reg.tif:49,120,318.117,326,303,330,318,49
50,OP_5_reg.tif:50,120,318.283,319,304,339,318,50
51,OP_5_reg.tif:51,120,316.750,317,303,335,317,51
52,OP_5_reg.tif:52,120,317.550,321,300,333,318,52
53,OP_5_reg.tif:53,120,317.617,319,299,332,318,53
54,OP_5_reg.tif:54,120,317.225,313,306,332,317,54
55,OP_5_reg.tif:55,120,317.258,318,305,336,318,55
56,OP_5_reg.tif:56,120,317.192,315,305,337,317,56
57,OP_5_reg.tif:57,120,316.575,317,301,335,317,57
58,OP_5_reg.tif:58,120,316.642,318,301,337,316,58
59,OP_5_reg.tif:59,120,316.358,315,302,331,316,59
60,OP_5_reg.tif:60,120,317.150,320,302,333,318,60
61,OP_5_reg.tif:61,120,316.967,318,302,332,317,61
62,OP_5_reg.tif:62,120,317.567,316,298,336,318,62
63,OP_5_reg.tif:63,120,316.967,311,303,335,317,63
64,OP_5_reg.tif:64,120,317.350,315,302,337,317,64
65,OP_5_reg.tif:65,120,317.025,317,302,332,317,65
66,OP_5_reg.tif:66,120,316.833,317,305,331,317,66
67,OP_5_reg.tif:67,120,317.533,318,301,333,317,67
68,OP_5_reg.tif:68,120,316.925,320,303,332,317,68
69,OP_5_reg.tif:69,120,317.783,317,301,336,317,69
70,OP_5_reg.tif:70,120,317.808,318,303,334,318,70
71,OP_5_reg.tif:71,120,316.733,318,304,332,317,71
72,OP_5_reg.tif:72,120,317.392,316,301,333,317,72
73,OP_5_reg.tif:73,120,316.908,313,304,331,317,73
74,OP_5_reg.tif:74,120,317.567,315,304,339,318,74
75,OP_5_reg.tif:75,120,317.158,319,304,335,318,75
76,OP_5_reg.tif:76,120,318.475,317,301,332,319,76
77,OP_5_reg.tif:77,120,317.317,311,302,334,317,77
78,OP_5_reg.tif:78,120,318.067,315,301,337,318,78
79,OP_5_reg.tif:79,120,318.708,317,302,337,318,79
80,OP_5_reg.tif:80,120,318.717,317,302,335,319,80
81,OP_5_reg.tif:81,120,318.783,316,298,333,319,81
82,OP_5_reg.tif:82,120,318.750,314,307,332,318,82
83,OP_5_reg.tif:83,120,318.550,318,305,339,318,83
84,OP_5_reg.tif:84,120,317.108,323,301,332,317,84
85,OP_5_reg.tif:85,120,318.117,314,297,332,318,85
86,OP_5_reg.tif:86,120,317.583,316,305,332,317,86
87,OP_5_reg.tif:87,120,316.900,321,305,334,317,87
88,OP_5_reg.tif:88,120,318.158,316,301,336,318,88
89,OP_5_reg.tif:89,120,316.550,319,300,334,316,89
90,OP_5_reg.tif:90,120,316.225,318,303,328,317,90
91,OP_5_reg.tif:91,120,315.892,314,302,335,316,91
92,OP_5_reg.tif:92,120,316.758,316,304,331,316,92
93,OP_5_reg.tif:93,120,315.233,313,300,333,315,93
94,OP_5_reg.tif:94,120,315.892,315,301,330,316,94
95,OP_5_reg.tif:95,120,315.283,310,301,331,315,95
96,OP_5_reg.tif:96,120,315.542,316,303,331,316,96
97,OP_5_reg.tif:97,120,315.867,318,298,329,316,97
98,OP_5_reg.tif:98,120,315.858,312,299,331,316,98
99,OP_5_reg.tif:99,120,314.842,315,301,330,315,99
100,OP_5_reg.tif:100,120,315.433,315,301,333,315,100
101,OP_5_reg.tif:101,120,314.967,312,301,332,314,101
102,OP_5_reg.tif:102,120,315.533,317,301,330,316,102
103,OP_5_reg.tif:103,120,314.383,317,300,329,315,103
104,OP_5_reg.tif:104,120,314.883,310,302,331,315,104
105,OP_5_reg.tif:105,120,314.783,315,300,330,315,105
106,OP_5_reg.tif:106,120,314.667,318,299,334,314,106
107,OP_5_reg.tif:107,120,315.792,317,301,330,316,107
108,OP_5_reg.tif:108,120,315.508,318,300,340,315,108
109,OP_5_reg.tif:109,120,314.908,315,300,329,315,109
110,OP_5_reg.tif:110,120,316.158,317,302,336,316,110
111,OP_5_reg.tif:111,120,315.758,320,299,330,316,111
112,OP_5_reg.tif:112,120,315.917,312,301,331,316,112
113,OP_5_reg.tif:113,120,315.058,313,302,331,315,113
114,OP_5_reg.tif:114,120,316.533,315,300,335,316,114
115,OP_5_reg.tif:115,120,316.100,314,300,328,316,115
116,OP_5_reg.tif:116,120,314.925,314,301,337,314,116
117,OP_5_reg.tif:117,120,315.708,313,302,332,315,117
118,OP_5_reg.tif:118,120,316.858,316,302,330,317,118
119,OP_5_reg.tif:119,120,315.425,311,299,333,315,119
120,OP_5_reg.tif:120,120,317.433,319,305,332,318,120
121,OP_5_reg.tif:121,120,317.992,318,298,336,318,121
122,OP_5_reg.tif:122,120,318.842,320,295,335,319,122
123,OP_5_reg.tif:123,120,321.342,325,305,339,322,123
124,OP_5_reg.tif:124,120,324.033,324,310,343,324,124
