animal,animal_num,time,signal,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
OP50_ASH_Glycerol_1_reg.mat,1,0.25,0.1509474811086616,0.1123301600700235,nls,0.041570642361453726,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,0.5,0.13406807103203308,0.10738735514952602,nls,0.029634037205322688,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,0.75,0.13594334716934875,0.10248547053048451,nls,0.03641119796167986,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,1,0.12261959923760736,0.09762416744349578,nls,0.027948753116927207,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,1.25,0.12038630271379874,0.09280310992374818,nls,0.030536514112866186,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,1.5,0.10283367957170843,0.08802196478780233,nls,0.017765036106721723,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,1.75,0.09875397952239809,0.08328040161056482,nls,0.01842689923464889,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,2,0.08655818829218807,0.07857809270245275,nls,0.01093341691255095,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,2.25,0.07715389741418967,0.07391471308674713,nls,0.006192505650258164,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,2.5,0.07130093778930614,0.06928994047713366,nls,0.0049643186349881095,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,2.75,0.06075473511406625,0.06470345525542909,nls,-9.953988185472146e-4,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,3,0.04581075244936582,0.06015494044949321,nls,-0.011390866677311765,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,3.25,0.03791264948766142,0.05564408171132229,nls,-0.014778110900845246,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,3.5,0.014927644432777378,0.05117056729532443,nls,-0.03328960153973143,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,3.75,0.001401307008141457,0.04673408803677548,nls,-0.0423794597058184,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,4,-0.002988773618168805,0.04233433733045178,nls,-0.04236978962580496,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,4.25,-0.004876080010406795,0.037971011109441455,nls,-0.03989376979703262,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,4.5,-0.006316342129725911,0.03364380782412957,nls,-0.03700682863103986,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,4.75,-0.00841201253722135,0.029352428421358767,nls,-0.03481111963576449,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,5,-0.012106744429012337,0.025096576323761277,nls,-0.03424999942995799,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,5.25,-0.004638843383335593,0.020875957409262402,nls,-0.022561479469782368,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,5.5,-0.013550375019709472,0.01669027999075401,nls,-0.027287333687647856,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,5.75,-0.023419996158109333,0.012539254795935817,nls,-0.03300592963122952,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,6,-0.021443665879444948,0.008422594947323725,nls,-0.026912939503953046,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,6.25,-0.02185076970602155,0.004340015942424058,nls,-0.02323746432562998,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,6.5,-0.013760663875754489,2.912356340710742e-4,nls,-0.011098578187009937,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,6.75,-0.01911653336724101,-0.003724025789071883,nls,-0.0124391862553535,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,7,-0.026763444606164106,-0.007706045821850083,nls,-0.016104077461498396,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,7.25,-0.019078517761686082,-0.011655099661795454,nls,-0.004470096777075001,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,7.5,-0.033785263799315304,-0.015571460228145317,nls,-0.01526048224835436,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,7.75,-0.027858679014306376,-0.01945539818070341,nls,-0.00544995951078734,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,8,-0.020378266503510437,-0.02330718193854614,nls,0.005882236757851329,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,8.25,-0.02573028631342182,-0.0271270776985722,nls,0.004350112707966005,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,8.5,-0.02295755315888946,-0.03091534945389962,nls,0.010911117617825788,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,8.75,-0.028467409913383715,-0.034672259012110684,nls,0.009158170421542596,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,9,-0.03864259952681459,-0.03839806601334517,nls,0.0027087878093462014,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,9.25,-0.03068242044971021,-0.0420930279482441,nls,0.014363928821349518,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,9.5,-0.030184367895919637,-0.04575740017574492,nls,0.018526353602640912,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,9.75,-0.027104622635765588,-0.04939143594072959,nls,0.025240134627779628,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,10,-0.028605036029696895,-0.05299538639152601,nls,0.027343671684644744,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,10.25,-0.02847799653771557,-0.05656950059726518,nls,0.031044825382365235,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,10.5,-0.03595600299752705,-0.060114025565094265,nls,0.027111343890382843,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,10.75,-0.02769747359834526,-0.063629206257247,nls,0.038885053981717356,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,11,-0.037515124035479866,-0.06711528560797358,nls,0.03255348289530934,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,11.25,-0.039666614825815696,-0.07057250454032937,nls,0.0338592110373293,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,11.5,-0.04559801171279355,-0.07400110198282556,nls,0.03135641159284763,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,11.75,-0.050735892985085004,-0.07740131488594088,nls,0.029618743223671497,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,12,-0.04754643180003797,-0.08077337823849795,nls,0.03618026776127561,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
OP50_ASH_Glycerol_1_reg.mat,1,12.25,-0.05480452519986659,-0.08411752508390291,nls,0.032266321206851946,N2,glycerol,OP50,GCAMP,-0.0029533213228156263
